night_of,average_darkness,median_darkness,mean_cloud_cover
2022-02-18 00:00:00,,,39.875
2022-02-19 00:00:00,19.4125,19.61,26.041666666666668
2022-02-26 00:00:00,19.677029702970295,19.7,0.0
2022-02-27 00:00:00,19.598035714285714,19.6,23.958333333333332
2022-03-08 00:00:00,19.886206896551723,19.88,2.4583333333333335
2022-03-12 00:00:00,20.185555555555553,20.2,29.666666666666668
2022-03-20 00:00:00,,,22.625
2022-03-27 00:00:00,20.085869565217386,20.085,11.083333333333334
2022-04-01 00:00:00,18.767500000000002,18.450000000000003,37.0
2022-04-14 00:00:00,,,37.333333333333336
2022-04-16 00:00:00,,,29.75
2022-04-21 00:00:00,17.7,17.66,36.041666666666664
2022-05-07 00:00:00,20.299500000000002,20.3,16.333333333333332
2022-05-09 00:00:00,19.91,20.15,37.375
2022-05-16 00:00:00,,,21.333333333333332
2022-06-02 00:00:00,18.94244444444444,18.84,19.75
2022-06-03 00:00:00,20.05777777777778,20.21,1.125
2022-06-07 00:00:00,20.4575,20.455,31.25
2022-06-12 00:00:00,,,38.291666666666664
2022-06-14 00:00:00,,,21.291666666666668
2022-06-16 00:00:00,,,26.458333333333332
2022-06-17 00:00:00,,,1.5833333333333333
2022-06-18 00:00:00,20.245555555555555,20.25,25.375
2022-06-20 00:00:00,20.201499999999996,20.240000000000002,5.791666666666667
2022-06-21 00:00:00,20.3704,20.37,12.125
2022-06-22 00:00:00,20.283448275862067,20.27,13.916666666666666
2022-06-23 00:00:00,20.343636363636364,20.35,29.833333333333332
2022-06-24 00:00:00,20.349729729729734,20.35,23.75
2022-06-26 00:00:00,20.190208333333334,20.355,38.041666666666664
2022-06-27 00:00:00,20.200400000000002,20.31,0.25
2022-06-28 00:00:00,20.308999999999997,20.31,39.833333333333336
2022-06-29 00:00:00,18.9582,18.615000000000002,15.166666666666666
2022-06-30 00:00:00,20.26686274509804,20.26,33.666666666666664
2022-07-03 00:00:00,19.94609756097561,20.25,10.875
2022-07-09 00:00:00,20.307333333333336,20.3,7.416666666666667
2022-07-10 00:00:00,20.385555555555552,20.38,25.458333333333332
2022-07-12 00:00:00,,,8.25
2022-07-13 00:00:00,,,25.041666666666668
2022-07-14 00:00:00,,,14.25
2022-07-18 00:00:00,20.344,20.34,8.625
2022-07-19 00:00:00,20.338,20.33,17.666666666666668
2022-07-20 00:00:00,19.851428571428567,20.18,33.25
2022-07-21 00:00:00,20.211052631578948,20.22,17.708333333333332
2022-07-22 00:00:00,20.33125,20.32,34.333333333333336
2022-07-27 00:00:00,,,37.833333333333336
2022-07-29 00:00:00,,,10.25
2022-07-30 00:00:00,,,33.916666666666664
2022-08-01 00:00:00,,,37.583333333333336
2022-08-02 00:00:00,,,29.583333333333332
2022-08-04 00:00:00,,,12.958333333333334
2022-08-05 00:00:00,,,13.958333333333334
2022-08-09 00:00:00,,,7.208333333333333
2022-08-10 00:00:00,,,4.958333333333333
2022-08-11 00:00:00,,,31.0
2022-08-16 00:00:00,,,35.125
2022-08-17 00:00:00,,,33.5
2022-08-18 00:00:00,,,15.333333333333334
2022-08-21 00:00:00,,,39.083333333333336
2022-08-22 00:00:00,,,8.125
2022-08-24 00:00:00,,,32.958333333333336
2022-08-26 00:00:00,,,21.625
2022-08-30 00:00:00,,,0.25
2022-08-31 00:00:00,,,5.958333333333333
2022-09-08 00:00:00,,,23.375
2022-09-09 00:00:00,,,0.041666666666666664
2022-09-10 00:00:00,,,24.583333333333332
2022-09-13 00:00:00,,,32.666666666666664
2022-09-14 00:00:00,,,28.958333333333332
2022-09-19 00:00:00,,,9.333333333333334
2022-09-22 00:00:00,,,16.416666666666668
2022-09-26 00:00:00,,,34.0
2022-09-28 00:00:00,,,9.75
2022-09-29 00:00:00,,,36.25
2022-09-30 00:00:00,,,8.291666666666666
2022-10-01 00:00:00,,,6.5
2022-10-02 00:00:00,,,27.75
2022-10-03 00:00:00,,,0.6666666666666666
2022-10-07 00:00:00,,,25.125
2022-10-08 00:00:00,,,19.0
2022-10-09 00:00:00,,,35.666666666666664
2022-10-10 00:00:00,,,2.75
2022-10-15 00:00:00,,,15.875
2022-10-19 00:00:00,,,25.333333333333332
2022-10-22 00:00:00,,,8.291666666666666
2022-10-23 00:00:00,,,24.166666666666668
2022-10-26 00:00:00,,,31.333333333333332
2022-10-28 00:00:00,,,21.666666666666668
2022-10-29 00:00:00,,,0.125
2022-11-01 00:00:00,,,0.0
2022-11-02 00:00:00,,,5.958333333333333
2022-11-07 00:00:00,,,27.916666666666668
2022-11-10 00:00:00,,,35.416666666666664
2022-11-20 00:00:00,,,27.0
2022-11-22 00:00:00,,,32.125
2022-11-23 00:00:00,,,22.166666666666668
2022-11-25 00:00:00,,,5.208333333333333
2022-12-01 00:00:00,,,28.333333333333332
2022-12-03 00:00:00,,,18.458333333333332
2022-12-04 00:00:00,,,3.25
