night_of,average_darkness,median_darkness,mean_cloud_cover,mean_snow_cover
2024-02-09,19.42785714285715,19.825,3.75,0.0
2024-02-12,20.090630630630635,20.15,14.791666666666666,0.0
2024-02-13,20.077978723404257,20.11,37.958333333333336,0.0
2024-02-14,19.88935897435897,20.09,38.583333333333336,0.0
2024-02-17,20.280967741935477,20.28,13.583333333333334,0.0
2024-02-18,20.259999999999998,20.26,1.2916666666666667,0.0
2024-02-19,19.61,19.72,39.583333333333336,0.0
2024-02-20,,,2.0833333333333335,0.0
2024-02-22,,,32.291666666666664,0.0
2024-02-25,,,30.75,0.0075
2024-02-26,,,22.333333333333332,0.0
2024-02-29,16.659285714285716,16.66,0.08333333333333333,0.0
2024-03-02,18.729814814814816,18.74,12.666666666666666,0.0
2024-03-03,18.28507462686567,18.29,16.458333333333332,0.0
2024-03-10,17.398828828828837,17.4,0.08333333333333333,0.0
2024-03-11,17.41218181818182,17.41,11.333333333333334,0.0
2024-03-13,17.779634146341465,17.78,36.208333333333336,0.0
2024-03-15,17.7494,17.75,9.5,0.0
2024-03-16,17.74823529411765,17.75,29.583333333333332,0.0
2024-03-18,17.596363636363638,17.6,36.291666666666664,0.0
2024-03-19,17.72,17.72,23.625,0.0
2024-03-20,,,8.083333333333334,0.0
2024-03-21,,,39.958333333333336,0.0
2024-03-28,17.74875,17.75,3.1666666666666665,0.0
2024-03-29,17.723809523809525,17.72,38.041666666666664,0.0
2024-04-06,17.7652688172043,17.77,5.541666666666667,0.0
2024-04-08,17.728351648351648,17.73,5.166666666666667,0.0
2024-04-09,17.696263736263738,17.69,15.916666666666666,0.0
2024-04-12,17.70716981132076,17.71,25.75,0.0
2024-04-13,17.73135135135135,17.73,4.0,0.0
2024-04-14,17.6664,17.67,0.08333333333333333,0.0
2024-04-15,17.722666666666665,17.72,0.20833333333333334,0.0
2024-04-19,,,9.5,0.0
2024-04-21,,,3.7083333333333335,0.0
2024-04-22,,,38.75,0.0
2024-04-25,,,7.5,0.0
2024-04-30,19.165869565217385,19.17,14.916666666666666,0.0
2024-05-01,19.215185185185188,19.22,31.416666666666668,0.0
2024-05-03,19.220307692307692,19.22,29.416666666666668,0.0
